"name","country","pop"
"Sants-Montjuic","Spain","183120"
"Santander","Spain","182700"
"Liege","Belgium","182597"
"Kamensk-Ural'skiy","Russian Federation","182500"
"Prato","Italy","181820"
"Saarbruecken","Germany","181227"
"Groningen","Netherlands","181194"
"Taranto","Italy","181082"
"Crawley","United Kingdom","180508"
"Castello de la Plana","Spain","180005"
"Yasenevo","Russian Federation","180000"
"Podolsk","Russian Federation","179400"
"Burgos","Spain","178966"
"Amadora","Portugal","178858"
"Ipswich","United Kingdom","178835"
"Bielsko-Biala","Poland","176515"
"Yuzhno-Sakhalinsk","Russian Federation","176484"
"Almere Stad","Netherlands","176432"
"Split","Croatia","176314"
"Saint-Etienne","France","176280"
"Turku","Finland","175945"
"Wigan","United Kingdom","175405"
"Kramators'k","Ukraine","173700"
"Croydon","United Kingdom","173314"
"Miskolc","Hungary","172637"
"Walsall","United Kingdom","172141"
"Herne","Germany","172108"
"Lyublino","Russian Federation","172000"
"Mansfield","United Kingdom","171958"
"Olsztyn","Poland","171803"
"Bacau","Romania","171396"
"Oxford","United Kingdom","171380"
"Muelheim","Germany","171000"
"Albacete","Spain","169716"
"Reggio Calabria","Italy","169140"
"Arad","Romania","169065"
"Baranovichi","Belarus","168772"
"Toulon","France","168701"
"Angers","France","168279"
"Horta-Guinardo","Spain","168092"
"Patra","Greece","168034"
"Alcorcon","Spain","167967"
"Berezniki","Russian Federation","167748"
"Volgodonsk","Russian Federation","167731"
"Breda","Netherlands","167673"
"Pitesti","Romania","167669"
"Miass","Russian Federation","167500"
"Abakan","Russian Federation","167289"
"Neukoelln","Germany","167248"
"Getafe","Spain","167164"
"Novocherkassk","Russian Federation","166974"
"Osnabrueck","Germany","166462"
"Nou Barris","Spain","166310"
"Warrington","United Kingdom","165456"
"Szeged","Hungary","164883"
"Basel","Switzerland","164488"
"Zenica","Bosnia and Herzegovina","164423"
"Solingen","Germany","164359"
"Pilsen","Czech Republic","164180"
"Nazran'","Russian Federation","164131"
"Slough","United Kingdom","163777"
"Piraeus","Greece","163688"
"Bournemouth","United Kingdom","163600"
"Peterborough","United Kingdom","163379"
"Ludwigshafen am Rhein","Germany","163196"
"Floridsdorf","Austria","162779"
"Leverkusen","Germany","162738"
"Hortaleza","Spain","161661"
"Rubtsovsk","Russian Federation","161065"
"Mytishchi","Russian Federation","160542"
"Salavat","Russian Federation","159893"
"Oldenburg","Germany","159218"
"Bibirevo","Russian Federation","159000"
"Khoroshevo-Mnevniki","Russian Federation","159000"
"Modena","Italy","158886"
"Nijmegen","Netherlands","158732"
"Grenoble","France","158552"
"Cambridge","United Kingdom","158434"
"Rzeszow","Poland","158382"
"Doncaster","United Kingdom","158141"
"Melitopol","Ukraine","158000"
"Gol'yanovo","Russian Federation","158000"
"Admiralteisky","Russian Federation","157897"
"San Blas-Canillejas","Spain","157367"
"Ussuriysk","Russian Federation","157068"
"Tiraspol","Moldova, Republic of","157000"
"Pecs","Hungary","156649"
"Ruse","Bulgaria","156238"
"Oporto","omg","214349"
"Luxembourg","omg","613894"
